Front,Back
"Which feature allows Azure Firewall to block traffic based on a list of known malicious IPs and domains?","Threat intelligence filtering"
"What is the term for traffic flowing between resources inside a virtual network?","East-west traffic"
"What is the term for traffic flowing between the internet and a virtual network?","North-south traffic"
"In the NSG rule evaluation order, which level is evaluated after the subnet level?","Network interface card (NIC) level"
"Which Azure Firewall rule type allows or denies outbound traffic based on FQDNs like *.openai.azure.com?","Application rules"
"What is the recommended protocol to use in NSG rules instead of 'Any' to reduce the attack surface?","The specific protocol used by the application (e.g., TCP or UDP)."
"Which Entra ID P2 feature allows for recurring re-certification of user access to groups or roles?","Access reviews"
"What is a 'service principal' in Microsoft Entra ID?","It is an application's identity within a specific tenant used for authentication and authorization."
"Which Entra role is the least-privileged requirement for creating a new user?","User Administrator"
"Which Entra role is required to manage and assign other administrative roles?","Privileged Role Administrator"
"Which type of Entra group is intended for collaboration and includes a shared mailbox and SharePoint site?","Microsoft 365 group"
"Which type of Entra group is used primarily to manage access to shared resources and can include devices?","Security group"
"Which feature allows group membership to be automatically updated based on user attributes?","Dynamic user membership"
"What does a 'Sign-in risk level' in Entra ID Protection represent?","The probability that a specific sign-in session is compromised."
"Which hybrid identity tool is the legacy application for syncing on-premises AD to Entra ID?","Microsoft Entra Connect"
"What is the primary benefit of 'Seamless Single Sign-On' for domain-joined devices?","Users are not prompted for passwords when accessing cloud resources while on the corporate network."
"Which Azure Storage redundancy option provides the highest durability by copying data to a secondary region?","Geo-redundant storage (GRS)"
"What is the 'data plane' role in Azure Storage used specifically for full control including setting permissions?","Storage Blob Data Owner"
"Which Defender for Storage pillar enriches alerts with information about classified data?","Sensitive data threat detection"
"Which Key Vault setting allows the recovery of deleted objects for a window of 7 to 90 days?","Soft delete"
"Which role provides full control over Key Vault data-plane contents such as secrets and keys?","Key Vault Administrator"
"Which Defender plan provides runtime threat detection for Azure SQL and open-source databases?","Defender for Databases"
"Which tool provides a unified experience for viewing vulnerability findings on virtual machines?","Microsoft Defender Vulnerability Management (MDVM)"
"Which layer of Kubernetes security focuses on what a running container is permitted to do, such as running as root?","Workload security"
"Which feature prevents unauthorized processes from running inside a container after it has been deployed?","Binary drift detection"
"Which service acts as a 'regional' WAF deployed into a specific VNet?","Application Gateway WAF"
"Which service acts as a 'global' WAF operating at Microsoft's global edge?","Azure Front Door WAF"
"Which Azure role prevents the deletion of a resource regardless of the user's other permissions?","CanNotDelete resource lock"
"What is the term for a single rule in Azure Policy, such as 'Allowed locations'?","Policy definition"
"Which component of Defender for Cloud scans container images for CVEs in the registry?","Vulnerability assessment"
"Which service is the recommended 'cloud-native' SIEM for log collection and incident response?","Microsoft Sentinel"
"What is the benefit of 'Always Allow' rules in Azure Virtual Network Manager (AVNM)?","They guarantee required traffic cannot be blocked by local NSG rules."
"Which storage tier is best for frequently accessed data with the highest storage costs but lowest access costs?","Hot tier"
"What is the role of an 'Identity Provider' in the context of single sign-on?","It is a system that creates, maintains, and manages identity information."
"Which Entra ID feature allows a user to verify their identity via a mobile app notification?","Microsoft Authenticator"
"What is the 'principle of least privilege'?","Granting only the minimum access necessary to perform a job."
"Which Azure service protects against common web vulnerabilities like SQL injection and cross-site scripting?","Web Application Firewall (WAF)"
"Which networking tool provides a secure way to access Azure VMs over RDP/SSH directly in the browser?","Azure Bastion"
"What is the default public endpoint state for Azure PaaS services like SQL Database or Key Vault?","They are assigned a public, internet-resolvable domain name by default."
"Which Entra ID report type lists users flagged for having one or more risky sign-ins?","Risky users"
"Which hybrid identity method allows users to sign in to on-premises AD FS instead of Entra ID?","Federated authentication"
"What is the purpose of 'Azure Policy for Kubernetes'?","It stops bad workloads before they start by plugging into the admission control process."
"Which Defender for Cloud plan protects the Azure control plane from suspicious resource modifications?","Defender for Resource Manager"
"What is the purpose of a 'Resource Guard' in Azure Backup?","It adds multi-user authorization (MUA) for critical backup operations."
"Which storage account setting rejects all plain HTTP connections?","Secure transfer required"
"Which Azure service allows you to create custom domains so usernames look familiar to employees?","Microsoft Entra custom domain"
"What is the name of the Microsoft-curated list of services that can bypass a storage firewall?","Trusted service exceptions"
"Which networking concept involves inspecting the actual structure of an HTTP request query string?","Web Application Firewall (WAF)"
"Which Defender for Containers pillar evaluates cluster configuration against the CIS Kubernetes Benchmark?","Security posture management"
"Which role is the 'classic' subscription role equivalent to the Owner role at subscription scope?","Service Administrator"
"Which Entra feature gives you a score evaluating your tenant's configuration against best practices?","Identity Secure Score"
